date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:44	230280/230280	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/banner.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/banner.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:44	3531/3531	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape4.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape4.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:45	3294/3294	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape6.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape6.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:46	6411/6411	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/img1.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/img1.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:47	5079/5079	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/img2.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/img2.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:48	5290/5290	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/img3.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/img3.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:16:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Feb%202021%2006:45:51%20GMT	http://a.vdo.ai/core/v-w3layouts/vdo.ai.js	/home/prasanna/websites/ajapro/a.vdo.ai/core/v-w3layouts/vdo.ai.19.delayed	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:16:05	306842/306842	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/b1.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/b1.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:16:07	9179/9179	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2001%20Feb%202021%2006:46:05%20GMT	https://a.vdo.ai/core/v-w3layouts/vdo.ai.js	/home/prasanna/websites/ajapro/a.vdo.ai/core/v-w3layouts/vdo.ai.js	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:16:11	266611/266611	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/b2.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/b2.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:16:11	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2001%20Feb%202021%2006:46:06%20GMT	http://fonts.googleapis.com/robots.txt		(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:16:15	16113/16113	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2011:11:40%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/t1.jpg	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/t1.jpg	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/about.html)
12:16:16	15723/15723	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2011:11:40%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/t2.jpg	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/t2.jpg	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/about.html)
